artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,duration_minutes,Duration_min,Value_percentage,energy_perc,speechiness_perc,acousticness_perc,liveness_perc,valence_perc
britney spears,born to make you happy,243533,False,1999,58,0.633,0.922,11,-4.842,0,0.0454,0.116,0.000465,0.071,0.686,84.11,pop,4.058883333333333,4.058883333333333,64.92307692307693,92.2922922922923,7.8819444444444455,12.989921612541993,8.32356389214537,70.50359712230217
montell jordan,get it on tonite,276266,False,1999,59,0.813,0.491,10,-9.923,0,0.077,0.241,4.61e-05,0.0817,0.868,99.008,hip hop,4.604433333333334,4.604433333333334,83.38461538461537,49.149149149149146,13.368055555555555,26.98768197088466,9.577960140679952,89.20863309352518
kylie minogue,spinning around,207866,False,2000,55,0.761,0.662,6,-7.645,0,0.0548,0.292,6.19e-05,0.0956,0.631,120.043,pop,3.464433333333333,3.4644333333333335,78.05128205128206,66.26626626626627,9.51388888888889,32.69876819708846,11.207502930832357,64.85097636176774
jay-z,big pimpin',283066,True,1999,69,0.88,0.814,11,-6.307,0,0.14,0.168,0.00672,0.0584,0.942,138.083,hip hop,4.717766666666667,4.717766666666667,90.25641025641026,81.48148148148148,24.30555555555556,18.812989921612544,6.846424384525205,96.81397738951696
leann rimes,i need you,229826,False,2001,61,0.478,0.736,7,-7.124,1,0.0367,0.02,9.58e-05,0.118,0.564,144.705,pop,3.830433333333333,3.830433333333333,49.02564102564103,73.67367367367366,6.371527777777779,2.2396416573348263,13.833528722157093,57.965056526207604
avant,separated,255600,False,2000,55,0.798,0.48,0,-5.564,1,0.0276,0.247,0.0,0.237,0.643,108.241,pop,4.26,4.26,81.84615384615385,48.048048048048045,4.791666666666667,27.659574468085108,27.784290738569755,66.08427543679343
enrique iglesias,be with you,219360,False,1999,54,0.683,0.866,1,-5.436,0,0.0329,0.0395,0.00161,0.0483,0.542,121.996,pop,3.656,3.656,70.05128205128206,86.68668668668668,5.711805555555556,4.4232922732362825,5.662368112543962,55.70400822199384
toni braxton,he wasn't man enough,261933,False,2000,66,0.739,0.947,11,-1.916,0,0.0411,0.00916,3.14e-05,0.326,0.766,88.009,pop,4.36555,4.36555,75.7948717948718,94.7947947947948,7.135416666666666,1.0257558790593504,38.21805392731536,78.7255909558068
bow wow,bounce with me (feat. xscape) - edited album version,175893,False,2000,36,0.852,0.75,8,-5.153,1,0.168,0.434,0.0,0.265,0.934,72.016,hip hop,2.93155,2.93155,87.38461538461539,75.07507507507508,29.166666666666668,48.600223964165735,31.06682297772568,95.99177800616651
dr. dre,forgot about dre,222293,True,1999,79,0.924,0.74,8,-1.299,1,0.0774,0.0827,0.0,0.163,0.621,133.974,hip hop,3.7048833333333335,3.7048833333333335,94.76923076923077,74.07407407407408,13.4375,9.260918253079508,19.10902696365768,63.82322713257965
backstreet boys,show me the meaning of being lonely,234960,False,1999,68,0.63,0.625,6,-5.088,0,0.0252,0.231,0.0,0.0765,0.683,167.998,pop,3.916,3.916,64.61538461538461,62.56256256256256,4.375,25.867861142217247,8.968347010550996,70.19527235354575
samantha mumba,gotta tell you,201946,False,2018,43,0.729,0.632,0,-8.75,0,0.0279,0.191,0.0,0.166,0.774,109.981,pop,3.3657666666666666,3.3657666666666666,74.76923076923076,63.263263263263255,4.843750000000001,21.388577827547593,19.460726846424386,79.54779033915726
mýa,case of the ex (whatcha gonna do),236906,False,2000,59,0.772,0.688,1,-4.715,0,0.0405,0.0548,9.79e-05,0.0725,0.348,98.0,pop,3.9484333333333335,3.9484333333333335,79.17948717948718,68.86886886886886,7.031250000000002,6.136618141097425,8.49941383352872,35.765673175745114
mary mary,shackles (praise you),198346,False,2000,64,0.779,0.834,7,-2.773,1,0.162,0.0343,0.0,0.0886,0.8,100.46,R&B,3.3057666666666665,3.3057666666666665,79.8974358974359,83.48348348348348,28.125000000000007,3.840985442329227,10.386869871043377,82.21993833504625
next,wifey,243666,False,2004,52,0.829,0.652,7,-8.693,0,0.108,0.067,0.0,0.0812,0.726,99.581,hip hop,4.0611,4.0611,85.02564102564102,65.26526526526527,18.75,7.502799552071669,9.519343493552167,74.61459403905447
janet jackson,doesn't really matter,265026,False,2001,47,0.771,0.796,5,-3.081,0,0.076,0.0993,0.00278,0.0981,0.801,99.316,pop,4.4171,4.4171,79.07692307692308,79.67967967967968,13.194444444444445,11.119820828667413,11.500586166471278,82.32271325796506
ricky martin,she bangs - english version,280626,False,2000,60,0.63,0.95,1,-4.012,1,0.0806,0.000915,6.51e-06,0.373,0.858,143.866,pop,4.6771,4.6771,64.61538461538461,95.09509509509509,13.993055555555559,0.10246360582306831,43.72801875732708,88.1808838643371
jagged edge,he can't love u,244053,False,2000,55,0.721,0.836,8,-3.972,0,0.206,0.112,0.0,0.235,0.508,126.279,hip hop,4.06755,4.06755,73.94871794871794,83.68368368368368,35.76388888888889,12.541993281075028,27.549824150058615,52.20966084275437
sisqo,incomplete,274226,True,1999,60,0.746,0.443,1,-7.693,0,0.0771,0.282,0.0,0.14,0.272,119.311,hip hop,4.570433333333333,4.570433333333333,76.51282051282051,44.34434434434434,13.38541666666667,31.57894736842105,16.412661195779606,27.954779033915727
jay-z,i just wanna love u (give it 2 me),227866,True,2000,59,0.8,0.922,4,-5.125,0,0.24,0.301,9.31e-06,0.0352,0.801,98.631,hip hop,3.7977666666666665,3.7977666666666665,82.05128205128206,92.2922922922923,41.66666666666667,33.70660694288913,4.1266119577960145,82.32271325796506
mariah carey,thank god i found you (feat. joe & 98°),257360,False,1999,59,0.348,0.532,10,-5.882,1,0.0331,0.592,0.0,0.106,0.148,129.297,pop,4.289333333333333,4.289333333333333,35.69230769230769,53.25325325325325,5.746527777777778,66.29339305711086,12.42672919109027,15.210688591983557
baha men,who let the dogs out,198400,False,2000,65,0.869,0.887,0,-4.505,1,0.0993,0.0605,0.0,0.148,0.784,129.221,R&B,3.306666666666666,3.3066666666666666,89.12820512820512,88.78878878878879,17.239583333333332,6.77491601343785,17.35052754982415,80.57553956834533
donell jones,"u know what's up (feat. lisa ""left eye"" lopes)",243733,True,1999,63,0.854,0.543,8,-6.166,0,0.0844,0.0402,5.73e-05,0.0419,0.868,103.032,pop,4.062216666666667,4.062216666666667,87.58974358974359,54.35435435435436,14.652777777777779,4.501679731243001,4.9120750293083235,89.20863309352518
leann rimes,can't fight the moonlight,215506,False,2001,65,0.628,0.834,6,-6.341,0,0.0497,0.403,0.0,0.051,0.626,97.865,pop,3.5917666666666666,3.5917666666666666,64.41025641025642,83.48348348348348,8.628472222222223,45.12877939529675,5.978898007033997,64.33710174717369
oasis,go let it out,278666,False,2000,0,0.408,0.849,2,-5.631,1,0.0333,0.0136,2.51e-05,0.56,0.628,84.192,Folk/Acoustic,4.644433333333334,4.644433333333334,41.84615384615385,84.98498498498498,5.781250000000001,1.5229563269876818,65.65064478311842,64.5426515930113
dj ötzi,hey baby (radio mix),219240,False,2010,58,0.666,0.968,10,-3.196,1,0.046,0.123,0.0,0.347,0.834,135.099,pop,3.654,3.654,68.30769230769232,96.89689689689689,7.986111111111112,13.773796192609183,40.6799531066823,85.71428571428571
p!nk,most girls,298960,False,2000,52,0.742,0.732,2,-6.046,0,0.0311,0.0424,0.00446,0.101,0.694,97.922,pop,4.982666666666667,4.982666666666667,76.1025641025641,73.27327327327328,5.399305555555555,4.748040313549832,11.840562719812429,71.32579650565262
mariah carey,against all odds (take a look at me now) (feat. westlife),199480,False,2011,0,0.471,0.514,1,-5.599,1,0.0315,0.584,0.0,0.103,0.373,117.338,pop,3.324666666666667,3.324666666666667,48.30769230769231,51.451451451451454,5.468750000000001,65.39753639417692,12.075029308323563,38.335046248715315
craig david,fill me in,257200,False,2000,60,0.682,0.744,8,-6.981,1,0.0365,0.376,0.00951,0.06,0.827,132.493,hip hop,4.286666666666667,4.286666666666667,69.94871794871796,74.47447447447448,6.336805555555555,42.10526315789473,7.033997655334115,84.99486125385405
christina aguilera,i turn to you,273706,False,1999,61,0.599,0.47,1,-8.356,1,0.0376,0.38,0.0,0.111,0.298,127.177,pop,4.561766666666666,4.561766666666666,61.43589743589744,47.047047047047045,6.527777777777779,42.5531914893617,13.012895662368113,30.62692702980473
madonna,american pie,273533,False,2000,58,0.631,0.734,5,-7.48,0,0.036,0.348,0.0,0.135,0.591,124.036,pop,4.558883333333333,4.558883333333333,64.71794871794872,73.47347347347348,6.25,38.96976483762597,15.82649472450176,60.739979445015415
red hot chili peppers,otherside,255373,False,1999,78,0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,rock,4.256216666666667,4.256216666666667,46.97435897435898,79.57957957957959,9.965277777777779,0.3538633818589026,8.862837045720985,52.72353545734841
sammie,i like it,251040,False,2000,55,0.826,0.656,9,-8.529,1,0.0617,0.0101,0.000113,0.0272,0.852,129.963,hip hop,4.184,4.184,84.71794871794872,65.66566566566567,10.711805555555557,1.1310190369540873,3.188745603751465,87.56423432682425
craig david,7 days,235133,False,2000,70,0.659,0.812,4,-7.499,0,0.0487,0.23,0.0,0.0951,0.888,83.014,hip hop,3.9188833333333335,3.9188833333333335,67.58974358974359,81.2812812812813,8.45486111111111,25.755879059350505,11.148886283704574,91.26413155190134
santana,maria maria (feat. the product g&b),261973,False,1999,66,0.777,0.601,2,-5.931,1,0.126,0.0406,0.00201,0.0348,0.68,97.911,rock,4.366216666666666,4.366216666666666,79.6923076923077,60.16016016016016,21.875000000000004,4.546472564389697,4.079718640093787,69.88694758478931
kandi,don't think i'm not,243533,False,2000,55,0.859,0.622,11,-8.196,1,0.0445,0.0661,0.0,0.0394,0.433,134.007,pop,4.058883333333333,4.058883333333333,88.1025641025641,62.262262262262254,7.725694444444445,7.402015677491603,4.618991793669402,44.501541623843785
p!nk,there you go,202800,False,2000,55,0.822,0.847,10,-6.729,0,0.0917,0.0854,0.0,0.0452,0.668,107.908,pop,3.38,3.38,84.3076923076923,84.78478478478479,15.920138888888891,9.563269876819708,5.2989449003516995,68.65364850976363
vengaboys,shalala lala,214819,False,2000,58,0.751,0.901,2,-5.802,1,0.0328,0.0504,0.00308,0.0395,0.973,124.017,pop,3.5803166666666666,3.5803166666666666,77.02564102564102,90.1901901901902,5.694444444444445,5.643896976483762,4.6307151230949595,100.0
ronan keating,life is a rollercoaster,234826,False,2000,59,0.655,0.791,0,-8.923,1,0.0302,0.1,0.000124,0.334,0.862,118.981,pop,3.9137666666666666,3.9137666666666666,67.17948717948718,79.17917917917919,5.243055555555556,11.198208286674133,39.155920281359904,88.59198355601234
madison avenue,don't call me baby,228140,False,1999,56,0.808,0.982,3,-6.588,0,0.0311,0.0585,0.00689,0.35,0.961,124.999,Dance/Electronic,3.802333333333333,3.8023333333333333,82.87179487179488,98.29829829829829,5.399305555555555,6.550951847704367,41.031652989449,98.7667009249743
destiny's child,"jumpin', jumpin'",230200,False,1999,70,0.771,0.685,1,-4.639,1,0.0567,0.00543,0.00157,0.0537,0.683,88.997,pop,3.8366666666666656,3.8366666666666664,79.07692307692308,68.56856856856858,9.843750000000002,0.6080627099664054,6.295427901524032,70.19527235354575
céline dion,that's the way it is,241373,False,1999,64,0.634,0.886,9,-5.424,1,0.0434,0.154,0.0,0.118,0.577,93.04,pop,4.022883333333334,4.022883333333334,65.02564102564102,88.68868868868869,7.534722222222223,17.24524076147816,13.833528722157093,59.3011305241521
3 doors down,kryptonite,233933,False,2000,78,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,pop,3.8988833333333335,3.8988833333333335,55.8974358974359,86.58658658658659,4.965277777777779,0.7435610302351623,19.695193434935522,55.80678314491264
carl thomas,i wish,226760,False,2000,52,0.736,0.666,1,-4.929,1,0.0337,0.0593,3.82e-05,0.107,0.224,89.824,pop,3.779333333333333,3.779333333333333,75.48717948717949,66.66666666666667,5.8506944444444455,6.64053751399776,12.543962485345839,23.021582733812952
mystikal,shake ya ass,256973,True,2000,57,0.914,0.607,7,-5.658,1,0.32,0.0626,0.0,0.0515,0.666,98.054,hip hop,4.282883333333333,4.282883333333333,93.74358974358975,60.76076076076076,55.55555555555556,7.010078387458007,6.0375146541617815,68.448098663926
fuel,hemorrhage (in my hands),236866,False,2000,49,0.313,0.831,1,-3.894,1,0.0404,0.000127,0.000341,0.24,0.332,152.034,rock,3.947766666666667,3.947766666666667,32.1025641025641,83.18318318318319,7.013888888888889,0.014221724524076147,28.13599062133646,34.1212744090442
donell jones,where i wanna be,253626,False,1999,57,0.664,0.396,5,-9.131,0,0.0298,0.52,0.0,0.268,0.453,102.053,pop,4.2271,4.2271,68.10256410256412,39.63963963963964,5.173611111111112,58.23068309070549,31.41852286049238,46.55704008221994
savage garden,crash and burn,281466,False,1999,54,0.581,0.607,4,-8.458,1,0.028,0.189,1.6e-06,0.0882,0.213,102.03,pop,4.6911,4.6911,59.589743589743584,60.76076076076076,4.861111111111112,21.164613661814112,10.339976553341149,21.891058581706062
westlife,my love,231760,False,2000,68,0.491,0.593,0,-5.975,1,0.0255,0.098,0.0,0.257,0.328,144.142,pop,3.8626666666666662,3.8626666666666667,50.358974358974365,59.35935935935935,4.427083333333334,10.97424412094065,30.128956623681123,33.710174717368965
all saints,pure shores,268746,False,2000,62,0.631,0.664,6,-9.197,1,0.0242,0.0498,0.00042,0.0696,0.407,100.618,pop,4.4791,4.4791,64.71794871794872,66.46646646646647,4.201388888888889,5.5767077267637175,8.159437280187573,41.82939362795477
destiny's child,"independent women, pt. 1",221133,False,2001,65,0.73,0.602,6,-3.782,0,0.206,0.362,3.69e-06,0.169,0.927,97.954,pop,3.68555,3.68555,74.87179487179488,60.26026026026025,35.76388888888889,40.53751399776036,19.812426729191092,95.27235354573484
*nsync,it's gonna be me,191040,False,2000,60,0.644,0.874,0,-4.666,0,0.0801,0.0459,2.24e-06,0.0584,0.882,165.09,pop,3.184,3.184,66.05128205128206,87.4874874874875,13.90625,5.139977603583427,6.846424384525205,90.64748201438849
erykah badu,bag lady,348893,False,2000,54,0.724,0.416,5,-8.964,0,0.0841,0.365,0.0,0.0969,0.578,151.181,hip hop,5.814883333333333,5.814883333333333,74.25641025641025,41.64164164164164,14.600694444444445,40.87346024636058,11.359906213364596,59.40390544707091
marc anthony,you sang to me,347106,False,1999,56,0.578,0.894,10,-5.42,1,0.0296,0.0103,2.66e-06,0.216,0.741,165.98,pop,5.7851,5.7851,59.282051282051285,89.4894894894895,5.138888888888889,1.1534154535274355,25.32239155920281,76.15621788283659
matchbox twenty,bent,256133,False,2000,54,0.518,0.83,6,-6.814,0,0.0386,0.0404,3.85e-06,0.375,0.527,95.468,pop,4.268883333333333,4.268883333333333,53.12820512820513,83.08308308308308,6.70138888888889,4.524076147816349,43.96248534583822,54.162384378211726
gabrielle,rise,219093,False,2001,60,0.558,0.481,8,-9.487,1,0.026,0.315,8.83e-06,0.09,0.631,144.673,pop,3.65155,3.65155,57.23076923076924,48.148148148148145,4.513888888888888,35.274356103023514,10.550996483001173,64.85097636176774
backstreet boys,shape of my heart,230093,False,2000,70,0.575,0.786,9,-4.353,1,0.0296,0.252,0.0,0.159,0.518,96.102,pop,3.834883333333333,3.8348833333333334,58.97435897435898,78.67867867867868,5.138888888888889,28.21948488241881,18.640093786635408,53.23741007194245
creed,with arms wide open,274800,False,1999,64,0.41,0.539,0,-8.412,1,0.0302,0.00425,0.00089,0.117,0.141,138.852,pop,4.58,4.58,42.05128205128205,53.953953953953956,5.243055555555556,0.47592385218365063,13.716295427901526,14.491264131551901
the corrs,breathless,207506,False,2000,68,0.607,0.82,11,-7.754,1,0.0597,0.0541,6.8e-05,0.269,0.768,126.988,pop,3.458433333333333,3.4584333333333332,62.256410256410255,82.08208208208208,10.364583333333334,6.058230683090706,31.53575615474795,78.9311408016444
joe,i wanna know,296693,False,2000,65,0.725,0.487,8,-5.959,0,0.0368,0.26,1.09e-05,0.431,0.599,136.086,pop,4.944883333333333,4.944883333333333,74.35897435897436,48.74874874874875,6.38888888888889,29.115341545352745,50.527549824150064,61.56217882836587
christina aguilera,come on over baby (all i want is you) - radio version,203333,False,1999,64,0.829,0.915,8,-3.205,1,0.106,0.226,1.25e-05,0.246,0.779,118.903,pop,3.388883333333333,3.3888833333333332,85.02564102564102,91.5915915915916,18.40277777777778,25.307950727883537,28.839390386869873,80.06166495375129
creed,higher,316733,False,1999,69,0.459,0.83,2,-6.254,1,0.0364,5.15e-05,0.00014,0.206,0.431,155.827,pop,5.278883333333333,5.278883333333333,47.07692307692308,83.08308308308308,6.3194444444444455,0.005767077267637178,24.150058616647126,44.29599177800617
britney spears,lucky,206226,False,2000,65,0.765,0.791,8,-5.707,1,0.0317,0.262,0.000154,0.0669,0.966,95.026,pop,3.4371,3.4371,78.46153846153847,79.17917917917919,5.503472222222223,29.339305711086226,7.842907385697538,99.28057553956835
nelly,country grammar (hot shit),287000,True,2000,68,0.865,0.664,2,-6.822,1,0.108,0.00689,0.0,0.142,0.565,162.831,hip hop,4.783333333333333,4.783333333333333,88.71794871794872,66.46646646646647,18.75,0.7715565509518477,16.64712778429074,58.06783144912641
shaggy,it wasn't me,227600,False,2000,76,0.853,0.606,0,-4.596,1,0.0713,0.0561,0.0,0.313,0.654,94.759,hip hop,3.793333333333333,3.7933333333333334,87.48717948717949,60.66066066066066,12.378472222222223,6.282194848824188,36.694021101992966,67.2147995889003
destiny's child,survivor,254026,False,2001,70,0.514,0.911,1,-2.027,0,0.41,0.0559,0.0,0.775,0.619,161.109,pop,4.233766666666667,4.233766666666667,52.717948717948715,91.1911911911912,71.18055555555556,6.259798432250839,90.85580304806565,63.61767728674204
eminem,stan,404106,True,2000,83,0.78,0.768,6,-4.325,0,0.238,0.0371,2.34e-06,0.518,0.507,80.063,hip hop,6.7351,6.7351,80.0,76.87687687687688,41.31944444444445,4.154535274356103,60.726846424384526,52.10688591983556
kylie minogue,can't get you out of my head,230640,False,2001,73,0.766,0.563,9,-7.516,0,0.0339,0.0263,0.683,0.115,0.964,126.007,pop,3.844,3.844,78.56410256410257,56.35635635635635,5.885416666666667,2.9451287793952967,13.481828839390388,99.07502569373074
christina aguilera,"lady marmalade - from ""moulin rouge"" soundtrack",264893,False,2001,68,0.76,0.801,5,-3.769,1,0.0534,0.0144,1.49e-05,0.665,0.653,109.919,pop,4.414883333333333,4.414883333333333,77.94871794871796,80.18018018018019,9.270833333333336,1.6125419932810752,77.96014067995311,67.11202466598151
nelly furtado,i'm like a bird,243160,False,2000,1,0.622,0.608,10,-5.085,1,0.036,0.138,5.38e-06,0.273,0.607,89.661,hip hop,4.052666666666667,4.052666666666667,63.794871794871796,60.86086086086085,6.25,15.453527435610305,32.00468933177022,62.38437821171634
shakira,"whenever, wherever",196160,False,2001,74,0.794,0.832,1,-4.862,0,0.0407,0.237,1.14e-05,0.203,0.871,107.657,pop,3.269333333333333,3.2693333333333334,81.43589743589745,83.28328328328328,7.065972222222222,26.53975363941769,23.798358733880423,89.51695786228161
